"ID","Q1.IncomeDiff","Q2.GayAdoption","Q3.NuclearPow","Q4.ChildAlw","Q5.SeniorCare","Q6.RetireAge","Q7.ExtWCareer","Q8.BendIndex","Q9.CutPblExpend","Q10.GreekDebt","Q11.TransacTax","Q12.TaxInc","Q13.TaxDeduc","Q14.MortDeduc","Q15.RealEstTax","Q16.Conscript","Q17.NATO","Q18.HumRight","Q19.LandOwn","Q20.DvlAid","Q22.Guns","Q23.VolDomLng","Q24.Suvivirsi","Q25.Immigration","Q26.SaimaaSeal","Q27.MunOutsource","Q28.MunNb","Q29.CptRegMerger","Q30.EqlTransfer","CountAnsw","Q21.Fb.Bolivia","Q21.Fb.Brasilia","Q21.Fb.UK","Q21.Fb.Spain","Q21.Fb.Ghana","Q21.Fb.India","Q21.Fb.Iran","Q21.Fb.Island","Q21.Fb.Israel","Q21.Fb.Italy","Q21.Fb.Canada","Q21.Fb.China","Q21.Fb.Cuba","Q21.Fb.Norway","Q21.Fb.Poland","Q21.Fb.France","Q21.Fb.Sweden","Q21.Fb.Germany","Q21.Fb.Tanzania","Q21.Fb.Danemark","Q21.Fb.Tunisia","Q21.Fb.Turkey","Q21.Fb.Russia","Q21.Fb.Estonia","Q21.Fb.USA","CountQ21.Fb","Q31.GvtPrt.IPU","Q31.GvtPrt.KES","Q31.GvtPrt.KOK","Q31.GvtPrt.KA","Q31.GvtPrt.KD","Q31.GvtPrt.KTP","Q31.GvtPrt.M2011","Q31.GvtPrt.PS","Q31.GvtPrt.PIR","Q31.GvtPrt.RKP","Q31.GvtPrt.SDP","Q31.GvtPrt.SEN","Q31.GvtPrt.SKP","Q31.GvtPrt.STP","Q31.GvtPrt.VP","Q31.GvtPrt.VAS","Q31.GvtPrt.VIHR","CountQ31.GvtPrt","W1.IncomeDiff","W2.GayAdoption","W3.NuclearPow","W4.ChildAlw","W5.SeniorCare","W6.RetireAge","W7.ExtWCareer","W8.BendIndex","W9.CutPblExpend","W10.GreekDebt","W11.TransacTax","W12.TaxInc","W13.TaxDeduc","W14.MortDeduc","W15.RealEstTax","W16.Conscript","W17.NATO","W18.HumRight","W19.LandOwn","W20.DvlAid","W21.FBCountry","W22.Guns","W23.VolDomLng","W24.Suvivirsi","W25.Immigration","W26.SaimaaSeal","W27.MunOutsource","W28.MunNb","W29.CptRegMerger","W30.EqlTransfer","W31.GvtPrt","CountNegW","CountPosW","cluster"
"Tuomioja Erkki","ReducMuch","1","0","NoImpact","Yes","Keep","RemAllowance","IncSligh","CutBusiness","DebtRestruct","YesAlways","CapIncome","TFHomeSeller","RemGrad","1","Keep","NotSoon","YesHumRight","ResRussian","Keep","BanHandG","0","YesIfOpt","Fine","LocNetBan","NoInc","170","Must","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","3","1","0","-1","1","1","1","0","1","0","1","1","1","0","0","0","-1","1","0","-1","1","-1","1","0","-1","0","0","1","0","1","0","-1","6","13",2
"Tuppurainen Tytti","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","FinInterest","YesIfOther","CapIncome","NoneOfThese","Keep","1","Keep","NotSoon","YesHumRight","NoRestrict","GrowMod","Keep","0","YesTrad","Fine","LocNetBan","NoInc","0","NewCouncil","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","3","1","0","0","1","1","1","1","0","1","1","1","1","1","0","-1","0","1","1","0","0","-1","0","-1","1","0","0","1","1","-1","1","-1","5","16",2
"Tuuri Pekka","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMunPay","FinInterest","YesAlways","CapIncome","TFHomeSeller","Keep","0","Select","NotSoon","YesHumRight","NoRestrict","GrowMod","Keep","0","YesTrad","Fine","LocNetBan","NoInc","170","VoluntCoop","LessEq","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","1","1","0","0","1","0","1","0","0","0","1","1","-1","0","0","-1","0","0","0","0","1","0","0","0","-1","0","0","0","0","0","1","3","8",3
"Uhlgren Arttu","ReducMuch","0","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","DebtRestruct","YesAlways","CapIncome","NoneOfThese","Keep","1","Keep","Never","YesHumRight","ResRussian","NoIncrease","Keep","1","YesTrad","TooLoose","LocNetBan","Reduce","170","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6",2
"Ukkonen Osmo","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncomePrior","CutBusiness","SuppWasMstk","YesIfOther","CapIncome","HouseHDed","Keep","0","Keep","NotSoon","YesHumRight","ResRussian","Keep","Keep","1","YesTrad","Fine","Keep","Reduce","230","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","3","1","-1","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7",2
"Vaatainen Tuula","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","CutBusiness","SuppWasMstk","YesIfOther","CapIncome","HouseHDed","Keep","0","Keep","Never","YesHumRight","ResRussian","Keep","Keep","0","YesTrad","Fine","Keep","NoInc","170","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","1","1","1","-1","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","1","15",2
"Vaha-Koivisto Markku","ReducMuch","0","0","NoImpact","Yes","Keep","NotAny","Fifty","RedMilitary","FinInterest","YesIfOther","CapIncome","UnionFees","Keep","0","Keep","Never","YesHumRight","ResAllForeign","GrowMod","Keep","0","YesTrad","TooLoose","Keep","Reduce","230","VoluntCoop","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","1","0","-1","1","1","1","0","0","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4",1
"Vainio Eero","ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","FinInterest","YesAlways","CapIncome","EmpBenDed","RemGrad","0","Keep","Never","YesWithEU","ResRussian","GrowMod","BanHomeStrg","0","YesTrad","Fine","LocNetBan","NoInc","170","Must","Keep","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","3","1","-1","0","0","0","0","0","0","0","0","0","0","-1","0","-1","0","0","0","-1","0","-1","0","0","0","0","0","0","-1","-1","0","0","7","1",2
"Varmala Johanna","ReducMuch","1","0","Remove","Yes","Keep","NotAny","Fifty","RedMilitary","DebtRestruct","YesAlways","CapIncome","NoneOfThese","Keep","1","Keep","Never","YesHumRight","ResRussian","GrowMod","BanHomeStrg","0","YesTrad","TooLoose","WNetBan","NoInc","290","VoluntCoop","LessEq","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","3","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","1","1","0","0","23",2
"Vehkaoja Marjatta","ReducSlight","1","0","NoImpact","NoRecommend","Keep","NotAny","Fifty","Other","Support","YesIfOther","Capital","TFHousingB","Keep","1","Quit","NotSoon","YesHumRight","NoRestrict","GrowMod","BanHomeStrg","1","YesTrad","Fine","LocNetBan","IncAndLearn","0","Must","Keep","29","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","1","-1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","10",3
"Vesala Pasi","ReducMuch","1","1","Adjust","Yes","Keep","NotAny","IncSligh","Other","DebtRestruct","YesIfOther","CapIncome","TFHomeSeller","Keep","0","Keep","Never","YesHumRight","NoRestrict","NoIncrease","Keep","1","YesTrad","Fine","LocNetBan","IncAndLearn","170","VoluntCoop","MoreEq","29","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","1","0","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","-1","-1","0","-1","0","0","0","0","-1","0","1","4","8",2
