"ID";"ElectDistrict";"Party";"Age";"Gender";"Independent";"Region";"EduLvl";"RegElected";"MP";"EuroMP"
"Salmi Keijo";"Uusimaa";"KTP";62;"M";0;"Uusimaa";1;0;0;0
"Suomalainen Heikki";"Lapland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Suominen Voitto";"Finland Proper";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Tiittanen Lassi";"Helsinki";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Tuomaala Aarne";"Tavastia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Tuominen Hannu";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Turpeinen Martti";"N-Karelia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Tuunanen Rauni";"Tavastia";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Vaahtera Jukka";"Helsinki";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Vartiainen Mikko";"Helsinki";"KTP";55;"M";0;"E-Uusimaa";6;0;0;0
"Vesterinen Bertta";"Uusimaa";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Virtanen Pentti";"C-Finland";"KTP";NA;NA;NA;NA;NA;NA;NA;NA
"Aagren Leena";"Oulu";"KA";53;"F";0;"N-Ostrobothnia";4;0;0;0
"Andonov Irina";"Uusimaa";"KA";39;"F";0;"Uusimaa";4;0;0;0
"Havana Kaisu";"Uusimaa";"KA";NA;NA;NA;NA;NA;NA;NA;NA
"Kahelin Juhani";"Uusimaa";"KA";62;"M";1;"Uusimaa";7;0;0;0
"Krogerus Timo";"Oulu";"KA";64;"M";1;"Kainuu";5;1;0;0
"Kylanpaa Liisa";"N-Savonia";"KA";NA;"F";0;"N-Savonia";4;0;0;0
"Lehtonen Maija";"Uusimaa";"KA";67;"F";0;"Uusimaa";2;0;0;0
"Parkkinen Tiina";"Uusimaa";"KA";58;"F";0;"Uusimaa";4;0;0;0
"Perttila Timo";"Uusimaa";"KA";57;"M";0;"Uusimaa";4;0;0;0
"Roivas Sirpa";"Uusimaa";"KA";53;"F";0;"Uusimaa";4;0;0;0
"Savola Terttu";"Helsinki";"KA";NA;"F";0;"Uusimaa";0;1;0;0
"Toyryla Seija";"Uusimaa";"KA";67;"F";1;"Uusimaa";4;0;0;0
"Ahlroth Lauri";"Helsinki";"M2011";25;"M";0;"Uusimaa";6;0;0;0
"Ahosilta Tomi";"Helsinki";"M2011";40;"M";0;"Uusimaa";4;0;0;0
"Autio Niko";"C-Finland";"M2011";20;"M";0;"C-Finland";3;0;0;0
"Ayravainen Tapio";"Finland Proper";"M2011";60;"M";0;"W-Finland";4;0;0;0
"Eerikainen Harri";"Helsinki";"M2011";47;"M";0;"Uusimaa";4;0;0;0
"Greus Aki";"Helsinki";"M2011";26;"M";0;"Uusimaa";3;0;0;0
"Hakala Olli-Pekka";"Satakunta";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Hallikainen Pasi";"Uusimaa";"M2011";49;"M";0;"Uusimaa";3;0;0;0
"Harjula Oili";"Lapland";"M2011";59;"F";0;"Lapland";2;0;0;0
"Heino Jari-Petri";"Finland Proper";"M2011";45;"M";0;NA;0;0;0;0
"Jarnefelt Richard";"Uusimaa";"M2011";47;"M";0;"Uusimaa";6;0;0;0
